town_number,town‪_‬name,region_number,region,sector_number,sector,muni_number,muni,total,age_0-6,age_6-18,age_19-45,age_46-55,age_56-64,age_65+
1253      ,אמנון                    ,22        ,כנרת                     ,22        ,טבריה                    ,55        ,מבואות החרמון            ,355       ,33        ,56        ,137       ,30        ,66        ,33
1254      ,נטף                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,492       ,62        ,57        ,221       ,30        ,67        ,55
1255      ,לוטן                     ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,261       ,29        ,41        ,113       ,48        ,24        ,6
1256      ,אשרת                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,519       ,38        ,76        ,210       ,57        ,82        ,56
1257      ,חנתון                    ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,918       ,116       ,296       ,322       ,87        ,50        ,47
1258      ,מסד                      ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,430       ,40        ,73        ,177       ,57        ,64        ,19
1259      ,נווה שלום                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,275       ,20        ,48        ,105       ,38        ,45        ,19
1260      ,רתמים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,585       ,165       ,202       ,212       ,2         ,2         ,2
1261      ,הר עמשא                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,51        ,תמר                      ,166       ,37        ,25        ,69        ,18        ,13        ,4
1262      ,צוקים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,54        ,הערבה התיכונה            ,309       ,35        ,101       ,105       ,42        ,20        ,6
1263      ,כפר ורדים                ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6217      ,281       ,1321      ,2089      ,882       ,704       ,940
1264      ,כרמי יוסף                ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1882      ,147       ,289       ,656       ,179       ,237       ,374
