town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
499,יפיע      ,2012,113,10,49,72,2,0,18
499,יפיע      ,2013,95,9,74,67,3,2,13
240,יקנעם עלית,2011,288,20,68,91,11,1,40
240,יקנעם עלית,2012,273,28,33,61,15,0,31
240,יקנעם עלית,2013,302,22,59,90,10,4,43
831,ירוחם     ,2011,177,16,51,34,3,0,22
831,ירוחם     ,2012,180,13,54,36,8,3,24
831,ירוחם     ,2013,123,8,25,44,6,0,27
3000,ירושלים   ,2011,12309,2921,2210,4583,493,179,1326
3000,ירושלים   ,2012,12451,2681,2061,4491,584,182,1287
3000,ירושלים   ,2013,13505,2478,1654,4991,566,242,1488
502,ירכא      ,2011,45,1,48,46,2,1,17
502,ירכא      ,2012,72,3,38,50,1,1,14
502,ירכא      ,2013,70,2,39,53,5,0,12
3796,כ האורנים ,2011,7,0,0,3,0,0,1
3796,כ האורנים ,2012,11,0,1,3,0,0,3
3796,כ האורנים ,2013,5,0,0,4,0,0,5
504,כאבול     ,2011,62,3,43,53,0,4,10
504,כאבול     ,2012,53,1,55,48,1,2,16
504,כאבול     ,2013,62,5,18,37,3,1,13
505,כוכב      ,2011,17,2,6,11,0,0,1
505,כוכב      ,2012,14,1,6,6,0,0,0
505,כוכב      ,2013,14,0,7,11,0,1,6
1224,כוכב יאיר ,2011,135,14,2,22,1,0,7
1224,כוכב יאיר ,2012,167,10,8,15,3,1,23
1224,כוכב יאיר ,2013,147,8,21,13,2,0,14
3779,כוכב יעקב ,2011,59,5,3,17,3,0,10
3779,כוכב יעקב ,2012,53,8,2,31,8,0,22
3779,כוכב יעקב ,2013,48,5,0,24,8,0,11
1059,כסיפה     ,2011,54,3,3,25,1,0,5
1059,כסיפה     ,2012,44,4,3,37,2,1,5
1059,כסיפה     ,2013,48,4,0,55,2,0,16
1296,כסרא-סמיע ,2011,19,0,0,16,2,0,11
1296,כסרא-סמיע ,2012,16,0,8,18,1,0,8
1296,כסרא-סמיע ,2013,23,0,12,14,4,0,12
978,כעבי-טב-חג,2011,48,1,1,24,1,1,5
978,כעבי-טב-חג,2012,38,1,5,22,0,0,6
978,כעבי-טב-חג,2013,31,3,2,31,1,0,7
3638,כפר אדמים ,2011,48,6,15,4,2,1,2
3638,כפר אדמים ,2012,67,5,68,13,1,1,7
3638,כפר אדמים ,2013,46,1,84,7,4,1,9
633,כפר ברא   ,2011,37,2,7,16,1,1,9
633,כפר ברא   ,2012,36,6,7,15,1,1,5
633,כפר ברא   ,2013,40,2,8,21,0,1,14
1263,כפר ורדים ,2011,92,0,17,14,3,0,4
1263,כפר ורדים ,2012,70,2,13,5,1,0,1
1263,כפר ורדים ,2013,63,2,17,11,1,0,9
696,"כפר חב""ד  ",2011,43,1,0,12,4,0,4
696,"כפר חב""ד  ",2012,59,8,5,13,4,0,6
696,"כפר חב""ד  ",2013,39,4,1,11,4,1,2
507,כפר יאסיף ,2011,99,3,234,52,3,1,14
507,כפר יאסיף ,2012,56,5,95,61,2,2,22
507,כפר יאסיף ,2013,68,4,89,46,2,3,17
168,כפר יונה  ,2011,401,83,45,74,6,2,39
168,כפר יונה  ,2012,370,78,43,104,11,0,79
168,כפר יונה  ,2013,368,77,58,80,10,4,83
508,כפר כמא   ,2011,5,0,0,5,1,0,1
508,כפר כמא   ,2012,10,0,0,0,0,0,1
508,כפר כמא   ,2013,10,0,0,8,0,0,3
509,כפר כנא   ,2011,80,7,18,62,0,1,11
509,כפר כנא   ,2012,79,4,44,88,4,1,20
509,כפר כנא   ,2013,116,3,82,85,1,1,22
510,כפר מנדא  ,2011,88,3,85,62,3,1,19
510,כפר מנדא  ,2012,80,0,110,78,3,0,15
510,כפר מנדא  ,2013,97,5,125,75,5,3,25
512,כפר מצר   ,2011,16,4,1,4,1,0,1
512,כפר מצר   ,2012,8,1,0,6,0,0,0
512,כפר מצר   ,2013,17,1,0,4,1,0,0
6900,כפר סבא   ,2011,2168,524,111,372,62,16,234
6900,כפר סבא   ,2012,2219,567,105,366,57,20,229
6900,כפר סבא   ,2013,2187,527,97,348,67,14,225
634,כפר קאסם  ,2011,200,37,44,72,4,4,37
634,כפר קאסם  ,2012,207,53,53,84,2,7,35
634,כפר קאסם  ,2013,257,76,44,89,5,7,37
654,כפר קרע   ,2011,209,30,112,109,3,3,24
654,כפר קרע   ,2012,201,24,94,106,6,4,35
654,כפר קרע   ,2013,200,22,111,93,6,1,29
47,כפר תבור  ,2011,50,6,24,6,0,0,7
47,כפר תבור  ,2012,46,1,21,7,1,0,5
47,כפר תבור  ,2013,46,5,2,9,2,0,4
1139,כרמיאל    ,2011,660,20,191,253,32,4,102
